age,sex,subject,slide,order,choice,rt,displaydiff,accuracy
18.0,Female,8bad4dd,0,0,right,1168,-11,False
18.0,Female,8bad4dd,0,1,right,997,-1,False
18.0,Female,8bad4dd,0,2,right,1224,6,True
18.0,Female,8bad4dd,0,3,right,753,-4,False
18.0,Female,8bad4dd,0,4,left,879,18,False
18.0,Female,8bad4dd,0,5,left,782,4,False
18.0,Female,8bad4dd,0,6,right,657,15,True
18.0,Female,8bad4dd,0,7,left,643,-9,True
18.0,Female,8bad4dd,0,8,right,639,14,True
18.0,Female,8bad4dd,0,9,right,687,10,True
18.0,Female,8bad4dd,0,10,left,656,-7,True
18.0,Female,8bad4dd,0,11,right,594,8,True
18.0,Female,8bad4dd,0,12,right,799,1,True
18.0,Female,8bad4dd,0,13,right,610,11,True
18.0,Female,8bad4dd,0,14,left,642,-2,True
18.0,Female,8bad4dd,0,15,right,851,4,True
18.0,Female,8bad4dd,0,16,left,602,-17,True
18.0,Female,8bad4dd,0,17,left,652,-6,True
18.0,Female,8bad4dd,0,18,left,907,-13,True
18.0,Female,8bad4dd,0,19,right,591,5,True
18.0,Female,8bad4dd,0,20,left,726,-7,True
18.0,Female,8bad4dd,0,21,left,736,-14,True
18.0,Female,8bad4dd,0,22,right,608,9,True
18.0,Female,8bad4dd,0,23,left,490,-2,True
18.0,Female,8bad4dd,0,24,left,863,-1,True
18.0,Female,8bad4dd,0,25,right,590,8,True
18.0,Female,8bad4dd,0,26,right,587,13,True
18.0,Female,8bad4dd,0,27,right,925,6,True
18.0,Female,8bad4dd,0,28,left,575,1,False
18.0,Female,8bad4dd,0,29,left,632,9,False
18.0,Female,8bad4dd,0,30,left,639,-8,True
18.0,Female,8bad4dd,0,31,left,621,5,False
18.0,Female,8bad4dd,0,32,right,640,1,True
18.0,Female,8bad4dd,0,33,left,767,-1,True
18.0,Female,8bad4dd,0,34,right,720,-11,False
18.0,Female,8bad4dd,0,35,right,730,-3,False
18.0,Female,8bad4dd,0,36,right,763,-1,False
18.0,Female,8bad4dd,0,37,left,624,-13,True
18.0,Female,8bad4dd,0,38,right,577,16,True
18.0,Female,8bad4dd,0,39,left,592,-17,True
18.0,Female,8bad4dd,0,40,left,663,-9,True
18.0,Female,8bad4dd,0,41,right,607,7,True
18.0,Female,8bad4dd,0,42,left,586,-5,True
18.0,Female,8bad4dd,0,43,right,703,13,True
18.0,Female,8bad4dd,0,44,left,655,-2,True
18.0,Female,8bad4dd,0,45,right,643,5,True
18.0,Female,8bad4dd,0,46,left,559,-4,True
18.0,Female,8bad4dd,0,47,right,564,4,True
18.0,Female,8bad4dd,0,48,left,535,6,False
18.0,Female,8bad4dd,0,49,right,950,-1,False
18.0,Female,8bad4dd,0,50,left,746,-8,True
18.0,Female,8bad4dd,0,51,left,799,-9,True
18.0,Female,8bad4dd,0,52,right,693,-1,False
18.0,Female,8bad4dd,0,53,left,593,5,False
18.0,Female,8bad4dd,0,54,right,546,-5,False
18.0,Female,8bad4dd,0,55,left,541,-2,True
18.0,Female,8bad4dd,0,56,right,575,1,True
18.0,Female,8bad4dd,0,57,left,760,-9,True
18.0,Female,8bad4dd,0,58,left,608,-3,True
18.0,Female,8bad4dd,0,59,right,604,-1,False
18.0,Female,8bad4dd,0,60,right,512,1,True
18.0,Female,8bad4dd,0,61,right,654,9,True
18.0,Female,8bad4dd,0,62,right,608,11,True
18.0,Female,8bad4dd,0,63,left,664,-11,True
18.0,Female,8bad4dd,0,64,left,708,-7,True
18.0,Female,8bad4dd,0,65,right,530,16,True
18.0,Female,8bad4dd,0,66,left,604,-14,True
18.0,Female,8bad4dd,0,67,left,632,-6,True
18.0,Female,8bad4dd,0,68,right,621,9,True
18.0,Female,8bad4dd,0,69,left,628,-3,True
18.0,Female,8bad4dd,0,70,left,592,10,False
18.0,Female,8bad4dd,0,71,left,572,-5,True
18.0,Female,8bad4dd,0,72,left,521,-16,True
18.0,Female,8bad4dd,0,73,left,776,-12,True
18.0,Female,8bad4dd,0,74,left,505,-1,True
18.0,Female,8bad4dd,0,75,right,598,14,True
18.0,Female,8bad4dd,0,76,right,654,4,True
18.0,Female,8bad4dd,0,77,right,874,1,True
18.0,Female,8bad4dd,0,78,right,649,10,True
18.0,Female,8bad4dd,0,79,left,576,2,False
18.0,Female,8bad4dd,0,80,right,649,11,True
18.0,Female,8bad4dd,0,81,left,627,7,False
18.0,Female,8bad4dd,0,82,right,540,11,True
18.0,Female,8bad4dd,0,83,right,1048,14,True
18.0,Female,8bad4dd,0,84,left,778,-3,True
18.0,Female,8bad4dd,0,85,right,645,12,True
18.0,Female,8bad4dd,0,86,left,511,-2,True
